Code,Name,Name2,FieldCount,IsDoor,IsStulp,PostType,OpeningPerField
FS633L,"Drzwi harmonijkowe 6 kw. (3 kw. na lewo + 3 kw. na prawo)","Lewe wiodące",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-PWS | F5: FS-PWS | F6: FS-PW
FS633LZ,"Drzwi harmonijkowe 6 kw. (3 kw. na lewo + 3 kw. na prawo)","Lewe wiodące",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-PZS | F5: FS-PZS | F6: FS-PZ
FS633P,"Drzwi harmonijkowe 6 kw. (3 kw. na lewo + 3 kw. na prawo)","Prawe wiodące",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LWS | F4: FS-PW | F5: FS-PWS | F6: FS-PW
FS633PZ,"Drzwi harmonijkowe 6 kw. (3 kw. na lewo + 3 kw. na prawo)","Prawe wiodące",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZS | F4: FS-PZ | F5: FS-PZS | F6: FS-PZ
FS642,"Drzwi harmonijkowe 6 kw. (4 kw. na lewo + 2 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-LWS2 | F5: FS-PWS | F6: FS-PW
FS642Z,"Drzwi harmonijkowe 6 kw. (4 kw. na lewo + 2 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-LZS2 | F5: FS-PZS | F6: FS-PZ
FS651,"Drzwi harmonijkowe 6 kw. (5 kw. otw. na lewo + 1 kw. rozw.)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-LWS2 | F5: FS-LWS | F6: FS-R-PW
FS651Z,"Drzwi harmonijkowe 6 kw. (5 kw. otw. na lewo + 1 kw. rozw.)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-LZS2 | F5: FS-LZS | F6: FS-R-PZ
FS660,"Drzwi harmonijkowe 6 kw. otw. na lewo","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-LWS2 | F5: FS-LW | F6: FS-LWS3
FS660Z,"Drzwi harmonijkowe 6 kw. otw. na lewo","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-LZS2 | F5: FS-LZ | F6: FS-LZS3
FS707,"Drzwi harmonijkowe 7 kw. otw. na prawo","",99,Yes,No,Vertical Mullion,F1: FS-PW | F2: FS-PWS3 | F3: FS-PW | F4: FS-PWS2 | F5: FS-PW | F6: FS-PWS | F7: FS-PW
FS707Z,"Drzwi harmonijkowe 7 kw. otw. na prawo","",99,Yes,No,Vertical Mullion,F1: FS-PZ | F2: FS-PZS3 | F3: FS-PZ | F4: FS-PZS2 | F5: FS-PZ | F6: FS-PZS | F7: FS-PZ
FS716,"Drzwi harmonijkowe 7 kw. (1 kw. rozw + 6 kw. otw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-R-LW | F2: FS-PWS3 | F3: FS-PW | F4: FS-PWS2 | F5: FS-PW | F6: FS-PWS | F7: FS-PW
FS716Z,"Drzwi harmonijkowe 7 kw. (1 kw. rozw + 6 kw. otw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-R-LZ | F2: FS-PZS3 | F3: FS-PZ | F4: FS-PZS2 | F5: FS-PZ | F6: FS-PZS | F7: FS-PZ
FS725,"Drzwi harmonijkowe 7 kw. (2 kw. na lewo + 5 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-PW | F4: FS-PWS2 | F5: FS-PW | F6: FS-PWS | F7: FS-PW
FS725Z,"Drzwi harmonijkowe 7 kw. (2 kw. na lewo + 5 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-PZ | F4: FS-PZS2 | F5: FS-PZ | F6: FS-PZS | F7: FS-PZ
FS752,"Drzwi harmonijkowe 7 kw. (5 kw. na lewo + 2 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-LWS2 | F5: FS-LW | F6: FS-PWS | F7: FS-PW
FS752Z,"Drzwi harmonijkowe 7 kw. (5 kw. na lewo + 2 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-LZS2 | F5: FS-LZ | F6: FS-PZS | F7: FS-PZ
FS761,"Drzwi harmonijkowe 7 kw. (6 kw. na lewo + 1 kw. rozw.)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-LWS2 | F5: FS-LW | F6: FS-LWS3 | F7: FS-R-PW
FS761Z,"Drzwi harmonijkowe 7 kw. (6 kw. na lewo + 1 kw. rozw.)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-LZS2 | F5: FS-LZ | F6: FS-LZS3 | F7: FS-R-PZ
FS770,"Drzwi harmonijkowe 7 kw. otw. na lewo","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-LWS2 | F5: FS-LW | F6: FS-LWS3 | F7: FS-LW
FS770Z,"Drzwi harmonijkowe 7 kw. otw. na lewo","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-LZS2 | F5: FS-LZ | F6: FS-LZS3 | F7: FS-LZ
FS808,"Drzwi harmonijkowe 8 kw. otw. na prawo","",99,Yes,No,Vertical Mullion,F1: FS-PWS4 | F2: FS-PW | F3: FS-PWS3 | F4: FS-PW | F5: FS-PWS2 | F6: FS-PW | F7: FS-PWS | F8: FS-PW
FS808Z,"Drzwi harmonijkowe 8 kw. otw. na prawo","",99,Yes,No,Vertical Mullion,F1: FS-PZS4 | F2: FS-PZ | F3: FS-PZS3 | F4: FS-PZ | F5: FS-PZS2 | F6: FS-PZ | F7: FS-PZS | F8: FS-PZ
FS817,"Drzwi harmonijkowe 8 kw. (1 kw. rozw + 7 kw. otw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-R-LW | F2: FS-PWS | F3: FS-PWS3 | F4: FS-PW | F5: FS-PWS2 | F6: FS-PW | F7: FS-PWS | F8: FS-PW
FS817Z,"Drzwi harmonijkowe 8 kw. (1 kw. rozw + 7 kw. otw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-R-LZ | F2: FS-PZS | F3: FS-PZS3 | F4: FS-PZ | F5: FS-PZS2 | F6: FS-PZ | F7: FS-PZS | F8: FS-PZ
FS826,"Drzwi harmonijkowe 8 kw. (2 kw. na lewo + 6 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-PWS3 | F4: FS-PW | F5: FS-PWS2 | F6: FS-PW | F7: FS-PWS | F8: FS-PW
FS826Z,"Drzwi harmonijkowe 8 kw. (2 kw. na lewo + 6 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-PZS3 | F4: FS-PZ | F5: FS-PZS2 | F6: FS-PZ | F7: FS-PZS | F8: FS-PZ
FS835,"Drzwi harmonijkowe 8 kw. (3 kw. na lewo + 5 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LWS | F4: FS-PW | F5: FS-PWS2 | F6: FS-PW | F7: FS-PWS | F8: FS-PW
FS835Z,"Drzwi harmonijkowe 8 kw. (3 kw. na lewo + 5 kw. na prawo)","Prawe wiodące",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZS | F4: FS-PZ | F5: FS-PZS2 | F6: FS-PZ | F7: FS-PZS | F8: FS-PZ
FS844,"Drzwi harmonijkowe 8 kw. (4 kw. na lewo + 4 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-LWS2 | F5: FS-PWS2 | F6: FS-PW | F7: FS-PWS | F8: FS-PW
FS844Z,"Drzwi harmonijkowe 8 kw. (4 kw. na lewo + 4 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-LZS2 | F5: FS-PZS2 | F6: FS-PZ | F7: FS-PZS | F8: FS-PZ
FS853,"Drzwi harmonijkowe 8 kw. (5 kw. na lewo + 3 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-LWS2 | F5: FS-LW | F6: FS-PWS | F7: FS-PWS | F8: FS-PW
FS853Z,"Drzwi harmonijkowe 8 kw. (5 kw. na lewo + 3 kw. na prawo)","Lewe wiodące",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-LZS2 | F5: FS-LZ | F6: FS-PZS | F7: FS-PZS | F8: FS-PZ
FS862,"Drzwi harmonijkowe 8 kw. (6 kw. na lewo + 2 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-LWS2 | F5: FS-LW | F6: FS-LWS3 | F7: FS-PWS | F8: FS-PW
FS862Z,"Drzwi harmonijkowe 8 kw. (6 kw. na lewo + 2 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-LZS2 | F5: FS-LZ | F6: FS-LZS3 | F7: FS-PZS | F8: FS-PZ
FS871,"Drzwi harmonijkowe 8 kw. (7 kw. na lewo + 1 kw. rozw.)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-LWS2 | F5: FS-LW | F6: FS-LWS3 | F7: FS-LWS | F8: FS-R-PW
FS871Z,"Drzwi harmonijkowe 8 kw. (7 kw. otw. na lewo + 1 kw. rozw.)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-LZS2 | F5: FS-LZ | F6: FS-LZS3 | F7: FS-LZS | F8: FS-R-PZ
FS880,"Drzwi harmonijkowe 8 kw. otw. na lewo","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-LWS2 | F5: FS-LW | F6: FS-LWS3 | F7: FS-LW | F8: FS-LWS4
FS880Z,"Drzwi harmonijkowe 8 kw. otw. na lewo","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-LZS2 | F5: FS-LZ | F6: FS-LZS3 | F7: FS-LZ | F8: FS-LZS4
FSD303,"Drzwi harmonijkowe 3 kw. otw. na prawo","",3,Yes,No,Vertical Mullion,F1: FS-PW | F2: FS-PWS | F3: FS-PW
FSD312,"Drzwi harmonijkowe 3 kw. (1 kw. rozw + 2 kw. otw. na prawo)","",3,Yes,No,Vertical Mullion,F1: FS-R-LW | F2: FS-PWS | F3: FS-PW
FSD321,"Drzwi harmonijkowe 3 kw. (2 kw. otw. na lewo + 1 kw. rozw.)","",3,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-R-PW
FSD330,"Drzwi harmonijkowe 3 kw. otw. na lewo","",3,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW
FSD413,"Drzwi harmonijkowe 4 kw. (1 kw. rozw + 3 kw. otw. na prawo)","",4,Yes,No,Vertical Mullion,F1: FS-R-LW | F2: FS-PWSL | F3: FS-PWS | F4: FS-PW
FSD431,"Drzwi harmonijkowe 4 kw. (3 kw. otw. na lewo + 1 kw. rozw.)","",4,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LWSP | F4: FS-R-PW
G,"Szyba / Wypełnienie / Panel drzwiowy","",1,No,No,None (Single Field),F1: X
H201,"HS schemat A (2 kw.) otw. na prawo","",2,Yes,No,Vertical Mullion,F1: HST-A-P | F2: HST-FIX
H201N,"HS schemat A (2 kw.) otw. na prawo z naświetlem","",3,Yes,No,Transom + Vertical Mullion,F1: HST-N | F2: HST-A-P | F3: HST-FIX
H202,"HS schemat A (2 kw.) otw. na lewo","",2,Yes,No,Vertical Mullion,F1: HST-FIX | F2: HST-A-L
H202N,"HS schemat A (2 kw.) otw. na lewo z naświetlem","",3,Yes,No,Transom + Vertical Mullion,F1: HST-N | F2: HST-FIX | F3: HST-A-L
H203,"HS schemat D (2 kw.) skrzydlo lewe wewn., prawe zewn.","",2,Yes,No,Vertical Mullion,F1: HST-D-P | F2: HST-D-Lz
H204,"HS schemat D (2 kw.) skrzydlo lewe zewn., prawe wewn.","",2,Yes,No,Vertical Mullion,F1: HST-D-Pz | F2: HST-D-L
H301,"HS schemat G1 (3 kw.) otw. na prawo","",3,Yes,No,Vertical Mullion,F1: HST-FIX | F2: HST-G-P | F3: HST-FIX
H302,"HS schemat G1 (3 kw.) otw. na lewo","",3,Yes,No,Vertical Mullion,F1: HST-FIX | F2: HST-G-L | F3: HST-FIX
H303,"HS schemat G3 (3 kw.) otw. na prawo","",3,Yes,No,Vertical Mullion,F1: HST-G2-FIX | F2: HST-G-P | F3: HST-FIX
H304,"HS schemat G3 (3 kw.) otw. na lewo","",3,Yes,No,Vertical Mullion,F1: HST-FIX | F2: HST-G-L | F3: HST-G2-FIX
H305,"HS schemat K (3 kw.)","",3,Yes,No,Vertical Mullion,F1: HST-A-P | F2: HST-FIX | F3: HST-A-L
H311,"HS schemat AG (3 kw.) otw. na praw (3-szynowy)","",3,Yes,No,Vertical Mullion,F1: HST-A-P | F2: HST-AG-P | F3: HST-FIX
H312,"HS schemat AG (3 kw.) otw. na lewo (3-szynowy)","",3,Yes,No,Vertical Mullion,F1: HST-FIX | F2: HST-AG-L | F3: HST-A-L
H401,"HS schemat C (4 kw.) - wiodące prawe","",4,Yes,No,Vertical Mullion,F1: HST-FIX | F2: HST-C-Lb | F3: HST-C-Pc | F4: HST-FIX
H401N,"HS schemat C (4 kw.) - wiodące prawe z naświetlem","",99,Yes,No,Transom + Vertical Mullion,F1: HST-C-Pc | F2: HST-C-Lb | F3: HST-FIX | F4: HST-FIX | F5: HST-N
H401_DL,"HS schemat C (4 kw.) - wiodące prawe - DO USUNIĘCIA","DUOLINE (= SKRZYDŁA )",4,Yes,No,Vertical Mullion,F1: HST-FIX | F2: HST-C-Lb | F3: HST-C-Pc | F4: HST-FIX
H402,"HS schemat C (4 kw.) - wiodące lewe","",4,Yes,No,Vertical Mullion,F1: HST-FIX | F2: HST-C-Lc | F3: HST-C-Pb | F4: HST-FIX
H402N,"HS schemat C (4 kw.) - wiodące lewe z naświetlem","",99,Yes,No,Transom + Vertical Mullion,F1: HST-C-Lc | F2: HST-C-Pb | F3: HST-FIX | F4: HST-FIX | F5: HST-N
HM201,"HS schemat A Fix (2 kw.) otw. na prawo","",2,Yes,No,Vertical Mullion,F1: HST-A-P | F2: HSM-FIX
HM202,"HS schemat A Fix (2 kw.) otw. na lewo","",2,Yes,No,Vertical Mullion,F1: HSM-FIX | F2: HST-A-L
HM301,"HS schemat G1 Fix (3 kw.) otw. na prawo","",3,Yes,No,Vertical Mullion,F1: HSM-FIX | F2: HST-G-P | F3: HSM2-FIX
HM302,"HS schemat G1 Fix (3 kw.) otw. na lewo","",3,Yes,No,Vertical Mullion,F1: HSM2-FIX | F2: HST-G-L | F3: HSM-FIX
HM401,"HS schemat C Fix (4 kw.) otw. na prawo","",4,Yes,No,Vertical Mullion,F1: HSM-FIX | F2: HST-C-Lb | F3: HST-C-Pc | F4: HSM2-FIX
HM402,"HS schemat C Fix (4 kw.) otw. na lewo","",4,Yes,No,Vertical Mullion,F1: HSM-FIX | F2: HST-C-Lc | F3: HST-C-Pb | F4: HSM2-FIX
M1,"Moskitiera plisowana pojedyncza","",1,No,No,None (Single Field),F1: X
M2,"Zestaw 2 moskitier plisowanych","",2,No,No,Vertical Mullion,F1: X | F2: X
M200,"MB SLIDE 2-skrzydłowe - WIODĄCE PRAWE","",2,No,No,Vertical Mullion,F1: SL-LZ | F2: SL-PW
M201,"MB SLIDE 2-skrzydłowe- WIODĄCE LEWE","",2,No,No,Vertical Mullion,F1: SL-LW | F2: SL-PZ
M210,"MB SLIDE 2-skrzydłowe - WIODĄCE PRAWE + FEST","",2,No,No,Vertical Mullion,F1: SL-FIX | F2: SL-PW
M211,"MB SLIDE 2-skrzydłowe - WIODĄCE LEWE + FEST","",2,No,No,Vertical Mullion,F1: SL-LW | F2: SL-FIX
M300,"MB SLIDE 3-skrzydłowe - WIODĄCE PRAWE","",3,No,No,Vertical Mullion,F1: SL-LZ | F2: SL-S | F3: SL-PW
M301,"MB SLIDE 3-skrzydłowe - WIODĄCE LEWE","",3,No,No,Vertical Mullion,F1: SL-LW | F2: SL-S | F3: SL-PZ
M310,"MB SLIDE 3-skrzydłowe - WIODĄCE PRAWE + FEST","",3,No,No,Vertical Mullion,F1: SL-FIX | F2: SL-S | F3: SL-PW
M311,"MB SLIDE 3-skrzydłowe - WIODĄCE LEWE + FEST","",3,No,No,Vertical Mullion,F1: SL-LW | F2: SL-S | F3: SL-FIX
M400,"MB SLIDE 4-skrzydłowe - WIODĄCE PRAWE","",4,No,No,Vertical Mullion,F1: SL-LZ | F2: SL-LWb | F3: SL-PWc | F4: SL-PZ
M401,"MB SLIDE 4-skrzydłowe - WIODĄCE LEWE","",4,No,No,Vertical Mullion,F1: SL-LZ | F2: SL-LWc | F3: SL-PWb | F4: SL-PZ
M410,"MB SLIDE 4-skrzydłowe - WIODĄCE PRAWE + FEST","",4,No,No,Vertical Mullion,F1: SL-FIX | F2: SL-LWb | F3: SL-PWc | F4: SL-FIX
M411,"MB SLIDE 4-skrzydłowe - WIODĄCE LEWE + FEST","",4,No,No,Vertical Mullion,F1: SL-FIX | F2: SL-LWc | F3: SL-PWb | F4: SL-FIX
MFR,"Moskitiera Flex-Screen","",1,No,No,None (Single Field),F1: X
MO,"Moskitiera drzwiowa","",1,No,No,None (Single Field),F1: X
MR,"Moskitiera ramkowa","",1,No,No,None (Single Field),F1: X
ND,"Narożnik drzwiowy","",1,No,No,None (Single Field),F1: NAR
ND_ALU,"Narożnik drzwiowy Alu","(otw na zew)",1,No,No,None (Single Field),F1: NAR_DW-Z
ND_ALU_NAK,"Narożnik drzwiowy Alu panel nakładkowy","(otw na zew)",1,No,No,None (Single Field),F1: NAR_DW-Z
NF,"Narożnik okienny","",1,No,No,None (Single Field),F1: NAR
NFL,"Narożnik Fold Line","",1,No,No,None (Single Field),F1: NAR
NH,"Narożnik HS ""C""","",1,No,No,None (Single Field),F1: NAR
NHW,"Narożnik HS ""W""","",2,No,No,Vertical Mullion,F1: NAR | F2: NAR
NHW_ALU,"Narożnik HS ""W"" Alu","",2,No,No,Vertical Mullion,F1: NAR-FIX | F2: NAR
NH_ALU,"Narożnik HS ""L"" Alu","",1,No,No,None (Single Field),F1: NAR
NS,"Narożnik SLIDE","",1,No,No,None (Single Field),F1: NAR
NS_ALU,"Narożnik SLIDE","",1,No,No,None (Single Field),F1: NAR
P100,"Stałe szklenie PSK","",1,Yes,No,None (Single Field),F1: PSK-FIX
P101,"PSK  otw. na prawo","montaż prowadnic na sąsiadującej jednostce",1,Yes,No,None (Single Field),F1: PSK-P
P102,"PSK  otw. na lewo","montaż prowadnic na sąsiadującej jednostce",1,Yes,No,None (Single Field),F1: PSK-L
P103,"Stałe szklenie w skrzydle PSK","",1,Yes,No,None (Single Field),F1: PSK-FIX-S
P201,"PSK  otw. na prawo","",2,Yes,No,Vertical Mullion,F1: PSK-P | F2: PSK-FIX
P202,"PSK  otw. na lewo","",2,Yes,No,Vertical Mullion,F1: PSK-FIX | F2: PSK-L
P203,"PSK  otw. na prawo UP + FF","",2,Yes,No,Vertical Mullion,F1: PSK-P | F2: PSK-FIX-S
P204,"PSK  otw. na lewo  FF + UP","",2,Yes,No,Vertical Mullion,F1: PSK-FIX-S | F2: PSK-L
P205,"PSK 2 skrz. ze sł. ruch., prawe skrzydło czynne","",2,Yes,No,Vertical Mullion,F1: PSK-Pc | F2: PSK-Lb
P206,"PSK 2 skrz. ze sł. ruch., lewe skrzydło czynne","",2,Yes,No,Vertical Mullion,F1: PSK-Lc | F2: PSK-Pb
P401,"Okno PSK 4 skrz. ze sł. ruch., prawe skrzydło czynne","",4,Yes,No,Vertical Mullion,F1: PSK-FIX | F2: PSK-Lb | F3: PSK-Pc | F4: PSK-FIX
P402,"Okno PSK 4 skrz. ze sł. ruch., lewe skrzydło czynne","",4,Yes,No,Vertical Mullion,F1: PSK-FIX | F2: PSK-Lc | F3: PSK-Pb | F4: PSK-FIX
PP100,"Stałe szklenie PSK","",1,Yes,No,None (Single Field),F1: PSK-FIX
PP101,"PSK na profilu pośrednim otw. na prawo","montaż prowadnic na sąsiadującej jednostce",1,Yes,No,None (Single Field),F1: PSK-P
PP102,"PSK na profilu pośrednim otw. na lewo","montaż prowadnic na sąsiadującej jednostce",1,Yes,No,None (Single Field),F1: PSK-L
PP103,"Stałe szklenie w skrzydle PSK","",1,Yes,No,None (Single Field),F1: PSK-FIX-S
PP201,"PSK na profilu pośrednim otw. na prawo","",2,Yes,No,Vertical Mullion,F1: PSK-P | F2: PSK-FIX
PP202,"PSK na profilu pośrednim otw. na lewo","",2,Yes,No,Vertical Mullion,F1: PSK-FIX | F2: PSK-L
PP203,"PSK na profilu pośrednim otw. na prawo UP + FF","",2,Yes,No,Vertical Mullion,F1: PSK-P | F2: PSK-FIX-S
PP204,"PSK na profilu pośrednim otw. na lewo  FF + UP","",2,Yes,No,Vertical Mullion,F1: PSK-FIX-S | F2: PSK-L
PP205,"PSK na profilu pośrednim 2 skrz. ze sł. ruch., prawe czynne","",2,Yes,No,Vertical Mullion,F1: PSK-Pc | F2: PSK-Lb
PP206,"PSK na profilu pośrednim 2 skrz. ze sł. ruch., lewe czynne","",2,Yes,No,Vertical Mullion,F1: PSK-Lc | F2: PSK-Pb
PR_S,"Pergola Single","",1,No,No,None (Single Field),F1: X
R1,"Roleta pojedyncza","",1,No,No,None (Single Field),F1: X
R2,"Zestaw 2 rolet w jednej skrzynce","",2,No,No,Vertical Mullion,F1: X | F2: X
R3,"Zestaw 3 rolet w jednej skrzynce","",3,No,No,Vertical Mullion,F1: X | F2: X | F3: X
S100,"Okno suwane na lewo","",1,No,No,None (Single Field),F1: S-L
S101,"Okno suwane na prawo","",1,No,No,None (Single Field),F1: S-P
S110,"Drzwi suwane na lewo","",1,No,No,None (Single Field),F1: S-L
S111,"Drzwi suwane na prawo","",1,No,No,None (Single Field),F1: S-P
S120,"Drzwi suwane na lewo","",1,No,No,None (Single Field),F1: S-L
S121,"Drzwi suwane na prawo","",1,No,No,None (Single Field),F1: S-P
S130,"Drzwi suwane na lewo","",1,No,No,None (Single Field),F1: S-L
S131,"Drzwi suwane na prawo","",1,No,No,None (Single Field),F1: S-P
S200,"Okno podnoszone ręcznie bez wspomagania","",2,No,No,Transom,F1: FIX | F2: S-G
S201,"Okno suwane na lewo i prawo","",2,No,No,Vertical Mullion,F1: S-L | F2: S-P
S202,"Okno suwane na lewo","Z bocznym festem",2,No,No,Vertical Mullion,F1: FIX | F2: S-L
S203,"Okno suwane na prawo","Z bocznym festem",2,No,No,Vertical Mullion,F1: S-P | F2: FIX
S211,"Drzwi suwane na lewo i prawo","",2,No,No,Vertical Mullion,F1: S-L | F2: S-P
S212,"Drzwi suwane na lewo","Z bocznym festem",2,No,No,Vertical Mullion,F1: FIX | F2: S-L
S213,"Drzwi suwane na prawo","Z bocznym festem",2,No,No,Vertical Mullion,F1: S-P | F2: FIX
S221,"Drzwi suwane na lewo i prawo","",2,No,No,Vertical Mullion,F1: S-L | F2: S-P
S222,"Drzwi suwane na lewo","Z bocznym festem",2,No,No,Vertical Mullion,F1: FIX | F2: S-L
S223,"Drzwi suwane na prawo","Z bocznym festem",2,No,No,Vertical Mullion,F1: S-P | F2: FIX
S231,"Drzwi suwane na lewo i prawo","",2,No,No,Vertical Mullion,F1: S-L | F2: S-P
S232,"Drzwi suwane na lewo","Z bocznym festem",2,No,No,Vertical Mullion,F1: FIX | F2: S-L
S233,"Drzwi suwane na prawo","Z bocznym festem",2,No,No,Vertical Mullion,F1: S-P | F2: FIX
S300,"Okno suwane na lewo","Z festem bocznym i naświetlem",3,No,No,Transom + Vertical Mullion,F1: FIX | F2: FIX | F3: S-L
S301,"Okno suwane na prawo","Z festem bocznym i naświetlem",3,No,No,Transom + Vertical Mullion,F1: FIX | F2: S-P | F3: FIX
S302,"Okno suwane na lewo","Z festem bocznym i dolnym",3,No,No,Transom + Vertical Mullion,F1: FIX | F2: S-L | F3: FIX
S303,"Okno suwane na prawo","Z festem bocznym i dolnym",3,No,No,Transom + Vertical Mullion,F1: S-P | F2: FIX | F3: FIX
S310,"Drzwi suwane na lewo","Z festem bocznym i naświetlem",4,No,No,Vertical Mullion + Transom + Transom,F1: FIX | F2: FIX | F3: FIX | F4: S-L
S311,"Drzwi suwane na prawo","Z festem bocznym i naświetlem",4,No,No,Vertical Mullion + Transom + Transom,F1: FIX | F2: FIX | F3: S-P | F4: FIX
S320,"Drzwi suwane na lewo","Z festem bocznym i naświetlem",4,No,No,Vertical Mullion + Transom + Transom,F1: FIX | F2: FIX | F3: FIX | F4: S-L
S321,"Drzwi suwane na prawo","Z festem bocznym i naświetlem",4,No,No,Vertical Mullion + Transom + Transom,F1: FIX | F2: FIX | F3: S-P | F4: FIX
S330,"Drzwi suwane na lewo","Z festem bocznym i naświetlem",4,No,No,Vertical Mullion + Transom + Transom,F1: FIX | F2: FIX | F3: FIX | F4: S-L
S331,"Drzwi suwane na prawo","Z festem bocznym i naświetlem",4,No,No,Vertical Mullion + Transom + Transom,F1: FIX | F2: FIX | F3: S-P | F4: FIX
S400,"Okno suwane na lewo i prawo","Z festami bocznymi",4,No,No,Vertical Mullion,F1: FIX | F2: S-L | F3: S-P | F4: FIX
S401N,"Okno suwane na lewo i prawo","Naświetla boczne i górne",99,No,No,Vertical Mullion + Transom + Transom + Transom + Vertical Mullion,F1: FIX | F2: FIX | F3: FIX | F4: FIX | F5: S-L | F6: S-P | F7: FIX
S402N,"Okno suwane na lewo i prawo","Naświetla boczne i dolne",99,No,No,Vertical Mullion + Transom + Transom + Transom + Vertical Mullion,F1: FIX | F2: S-L | F3: S-P | F4: FIX | F5: FIX | F6: FIX | F7: FIX
S410,"Drzwi suwane na lewo i prawo","Z festami bocznymi",4,No,No,Vertical Mullion,F1: FIX | F2: S-L | F3: S-P | F4: FIX
S411N,"Drzwi suwane na lewo i prawo","Naświetla boczne i górne",99,No,No,Vertical Mullion + Transom + Transom + Transom + Vertical Mullion,F1: FIX | F2: FIX | F3: FIX | F4: FIX | F5: S-L | F6: S-P | F7: FIX
S420,"Drzwi suwane na lewo i prawo","Z festami bocznymi",4,No,No,Vertical Mullion,F1: FIX | F2: S-L | F3: S-P | F4: FIX
S421N,"Drzwi suwane na lewo i prawo","Naświetla boczne i górne",99,No,No,Vertical Mullion + Transom + Transom + Transom + Vertical Mullion,F1: FIX | F2: FIX | F3: FIX | F4: FIX | F5: S-L | F6: S-P | F7: FIX
S430,"Drzwi suwane na lewo i prawo","Z festami bocznymi",4,No,No,Vertical Mullion,F1: FIX | F2: S-L | F3: S-P | F4: FIX
